"0",""
"0","# create data frame with edge list and weight"
"0","edges <- get.edgelist(network)"
"0","edge_df <- as.data.frame(edges)"
"0",""
"0","edge_df$ind1 = match(edge_df$V1, colnames(A[,-1]))"
"0","edge_df$ind2 = match(edge_df$V2, colnames(A[,-1]))"
"0","View(edge_df)"
"0","# elist <- Mtrx_EList(A[, -1], directed = T)"
"0","# weighted_edges = merge(edge_df, elist, by.y = c(""n1"", ""n2""), by.x = c(""ind1"", ""ind2""))"
"0","# weighted_edges$weight <- as.integer(weighted_edges$weight)"
"0",""
"0",""
